,contributor_name,counts
693,michaelneale,7
694,beckyaws,7
695,bradley-curran,7
696,johnkim76,7
697,xingniu,7
698,aaithal,7
699,philipmw,7
700,jiajiechen,7
701,subinataws,7
702,msfroh,7
703,Sam-Martin,7
704,ndobryanskyy,7
705,p-palanis,7
706,nicolagi,7
707,nija-at,7
708,nikunjnaws,7
709,orozcoadrian,7
710,alextwoods,7
711,chriscoombs,7
712,ReethiJ,7
713,alexgl-github,7
714,pierreaws,7
715,kylesomers,7
716,jodevsa,7
717,collinsr,7
718,tuliocasagrande,7
719,SmilyBorg,7
720,Simon2228,7
721,conordel,7
722,bmoffatt,7
723,rjuliano,7
724,NikolaBravo,7
725,keypointt,7
726,gruenem,7
727,wolruf,7
728,stefan-grafberger,7
729,raykrueger,7
730,joeharris76,7
731,JPFrancoia,6
732,leiye,6
733,surajkota,6
734,asifamz,6
735,shyamjvs,6
736,arunvis-aws,6
737,lordjabez,6
738,drobtravels,6
739,skohlmeier,6
740,norvellj,6
741,enobufs,6
742,michael-k,6
743,otterley,6
744,albertvaka,6
745,anchen1011,6
746,Sentinel-5P,6
747,iamhopaul123,6
748,ppratee,6
749,andreaswittig,6
750,mmarti,6
751,gmilcinski,6
752,gliptak,6
753,rostislb,6
754,mig281,6
755,Styerp,6
756,shultzbs,6
757,rpgreen,6
758,gautagan,6
759,ryannikschaws,6
760,flaviomax,6
761,sammartinez,6
762,matt-lumer,6
763,Trojan295,6
764,falkben,6
765,sentientmonkey,6
766,kapilt,6
767,appwiz,6
768,sgdread,6
769,dgraeber,6
770,kushagra1504,6
771,barneagal,6
772,Ashish-Nanda,6
773,zekuny,6
774,AWSaalluri,6
775,bsangwan,6
776,cosmincatalin,6
777,Deseaus,6
778,ykosaraju,6
779,bad-hambo,6
780,F2006,6
781,charsleysa,6
782,BrandonMorgado,6
783,willywutang,6
784,tchia04,6
785,bankAWS,6
786,vinayselvaraj,6
787,szha,6
788,bluPhy,6
789,shijin-aws,5
790,andrealiu,5
791,dave-malone,5
792,cstrydom,5
793,apreed,5
794,ericangelokim,5
795,akarve,5
796,mndeveci,5
797,davidcthomas,5
798,costleya,5
799,yoroto,5
800,simalexan,5
801,simonz-bq,5
802,TruffleMuffin,5
803,tv-17,5
804,prasanthig,5
805,batchus,5
806,dawidmalina,5
807,shurvitz,5
808,matschaffer,5
809,triha74,5
810,agcooke,5
811,nelz9999,5
812,plample,5
813,ryflood,5
814,sam-aws,5
815,daneah,5
816,ansoni,5
817,cyrilbrugman,5
818,nikp,5
819,rurounijones,5
820,bdhandap,5
821,toriiico,5
822,markrtuttle,5
823,tjkirch,5
824,pengzai6666,5
825,chirillc-aws,5
826,matthewpoer,5
827,tinglinc,5
828,ylynn,5
829,Tony96301,5
830,connellp,5
831,gbroques,5
832,Trane9991,5
833,alexcasalboni,5
834,magictoken,5
835,nhanatl,5
836,vito-laurenza-zocdoc,5
837,panva,5
838,vkuptcov,5
839,Seblat5ch,5
840,hnishar,5
841,borgstrom,5
842,koblas,5
843,knqyf263,5
844,yyolk,5
845,Sh4rK,5
846,thedjpetersen,5
847,rc1405,5
848,srijitm,5
849,defila-aws,5
850,stefanverhoeff,5
851,abhiataero,5
852,christos-c,5
853,chrisckchang,5
854,mteichtahl,5
855,lukaszbudnik,5
856,codewithsk,5
857,vaviliv,5
858,thedevopsmachine,5
859,witsoej,5
860,luxx,5
861,skripche,5
862,FireballDWF,5
863,kelloggm,5
864,patcadelina,5
865,taoyong-ty,5
866,ritesh,5
867,awskieran,5
868,hobu,5
869,ecpullen,5
870,arun-amzn,5
871,usamanaseem,4
872,jezhiggins,4
873,mscaer,4
874,cxystras,4
875,tpcstld,4
876,johnnyw-aws,4
877,SoManyHs,4
878,johnraws,4
879,rajaprabhu,4
880,ruchim,4
881,milbrya,4
882,johnnyhoffman,4
883,goeringk,4
884,mindstorms6,4
885,SamuelLarkin,4
886,SalusaSecondus,4
887,rjsamson,4
888,changebo,4
889,gkwicker,4
890,rizwangilani,4
891,andrey-tpt,4
892,rpaterson,4
893,DaichiUeura,4
894,rhermes62,4
895,jklukas,4
896,joeyvmason,4
897,gautamkmr,4
898,nehalmehta,4
899,jiteshsoni,4
900,wps132230,4
901,B-Souty,4
902,hmashlah,4
903,rschmitt,4
904,andrewfayres,4
905,Michael-McClelland4,4
906,msantos,4
907,harinigunabalan,4
908,rcook,4
909,jacobtomlinson,4
910,onlybakam,4
911,enieuw,4
912,manango,4
913,actions-user,4
914,Jacco,4
915,arpitjain2811,4
916,ckamps,4
917,dgomesbr,4
918,vijaysat,4
919,J8K3,4
920,eagletmt,4
921,tbrown-wordstream,4
922,smpeters,4
923,smuralee,4
924,lovvge,4
925,amey91,4
926,yx1215,4
927,vinayict,4
928,WillHoule,4
929,billrobertson42,4
930,ssleyman,4
931,jamestwebber,4
932,jamesoff,4
933,stefanceriu,4
934,at7925,4
935,diranged,4
936,strawberrypie,4
937,kpuatamazon,4
938,t13a,4
939,vrdabomb5717,4
940,jagatfx,4
941,thomasmcgannon,4
942,danielhaviv,4
943,davidoesch,4
944,aopisco,4
945,mark-hirayama,4
946,etungsten,4
947,shufakan,4
948,apprivet,4
949,jschwarzwalder,4
950,yash1,4
951,joshmoAWS,4
952,aptsunny,4
953,cheruvian,4
954,menant,4
955,fmarier,4
956,jordan-patapoff,4
957,ryansb,4
958,yadavcbala,4
959,kagahehk01,4
960,jwswj,4
961,nmanthey,4
962,shashankprasanna,4
963,awsmobilesdk,4
964,marcilio,4
965,arangatang,4
966,jancona,3
967,RobRoseKnows,3
968,willarmiros,3
969,jasonkrone,3
970,whsinma,3
971,nvaidya1,3
972,neoandroid,3
973,waltmaguire,3
974,Rayz0r,3
975,mycaule,3
976,jboynes,3
977,jeremylevy,3
978,okochang,3
979,azatoth,3
980,Richardwan7,3
981,chills42,3
982,nbrachet,3
983,javydekoning,3
984,nmoutschen,3
985,natherz97,3
986,Schadix,3
987,chrgut,3
988,dgouldin,3
989,willyg302,3
990,benoittgt,3
991,bryant1410,3
992,malyeyev-AMZN,3
993,maaquib,3
994,m8ryx,3
